2.6000	1360.0000	150.0000	11.8817	1045.5000	166.0000	1056.2500	113.0000	1692.0000	1267.5000	48.8750	0.7578	13.6000
2.0000	1292.2500	112.0000	9.3972	954.7500	103.0000	1173.7500	92.0000	1558.7500	972.2500	47.7000	0.7255	13.3000
2.2000	1402.0000	88.0000	8.9978	939.2500	131.0000	1140.0000	114.0000	1554.5000	1074.0000	53.9750	0.7502	11.9000
2.2000	1375.5000	80.0000	9.2288	948.2500	172.0000	1092.0000	122.0000	1583.7500	1203.2500	60.0000	0.7867	11.0000
1.6000	1272.2500	51.0000	6.5182	835.5000	131.0000	1205.0000	116.0000	1490.0000	1110.0000	59.5750	0.7888	11.1500
1.2000	1197.0000	38.0000	4.7410	750.2500	89.0000	1336.5000	96.0000	1393.0000	949.2500	59.1750	0.7848	11.1750
1.2000	1185.0000	31.0000	31.0000	689.5000	62.0000	1461.7500	77.0000	1332.7500	732.5000	56.7750	0.7603	11.3250
1.0000	1136.2500	31.0000	3.3267	672.0000	62.0000	1453.2500	76.0000	1332.7500	729.5000	60.0000	0.7702	10.6750
0.9000	1094.0000	24.0000	2.3394	608.5000	45.0000	1579.0000	60.0000	1276.0000	619.5000	59.6750	0.7648	10.6500
0.6000	1009.7500	19.0000	1.6967	560.7500	33.0000	1705.0000	47.0000	1234.7500	501.2500	60.2000	0.7517	10.2500
0.6500	1011.0000	14.0000	1.2936	526.7500	21.0000	1817.5000	34.0000	1196.7500	445.2500	60.4750	0.7465	10.0750
0.7000	1066.0000	8.0000	1.1334	512.0000	16.0000	1918.0000	28.0000	1182.0000	421.7500	56.1750	0.7366	11.0000
0.7000	1051.7500	16.0000	1.6038	553.2500	34.0000	1738.2500	48.0000	1221.2500	471.5000	58.1250	0.7353	10.4500
1.1000	1144.0000	29.0000	3.2436	667.0000	98.0000	1489.7500	82.0000	1339.0000	729.7500	59.6000	0.7417	10.2000
2.0000	1333.2500	64.0000	8.0138	899.7500	174.0000	1136.0000	112.0000	1517.0000	1101.5000	57.4250	0.7408	10.7500
2.2000	1351.0000	87.0000	9.5406	960.2500	129.0000	1079.0000	101.0000	1582.7500	1027.7500	60.6000	0.7691	10.5000
1.7000	1233.2500	77.0000	6.3358	827.2500	112.0000	1218.0000	98.0000	1445.7500	859.7500	58.3500	0.7552	10.8000
1.5000	1178.7500	43.0000	4.9716	762.0000	95.0000	1327.5000	92.0000	1361.7500	670.5000	57.9250	0.7352	10.5000
1.6000	1236.0000	61.0000	5.2169	774.2500	104.0000	1301.2500	95.0000	1401.2500	664.0000	66.7750	0.7951	9.5250
1.9000	1285.5000	63.0000	7.2699	868.5000	146.0000	1162.2500	112.0000	1536.7500	799.0000	76.4250	0.8393	8.3000
2.9000	1371.0000	164.0000	11.5390	1033.5000	207.0000	983.2500	128.0000	1730.2500	1036.5000	81.1500	0.8736	8.0000
2.2000	1310.0000	79.0000	8.8262	932.5000	184.0000	1081.7500	126.0000	1646.5000	946.2500	79.8000	0.8778	8.3250
2.2000	1291.7500	95.0000	8.3014	911.5000	193.0000	1102.5000	131.0000	1590.7500	956.7500	71.1500	0.8569	9.7000
2.9000	1383.0000	150.0000	11.1516	1019.7500	243.0000	1008.0000	135.0000	1718.7500	1104.0000	67.6250	0.8185	9.7750
4.8000	1580.7500	307.0000	20.7992	1318.5000	281.0000	798.5000	151.0000	2083.0000	1408.5000	64.1750	0.8065	10.3500
6.9000	1775.5000	461.0000	27.3598	1487.7500	383.0000	702.2500	172.0000	2332.5000	1704.0000	69.3000	0.8319	9.6500
6.1000	1640.0000	401.0000	24.0178	1404.0000	351.0000	742.7500	165.0000	2191.2500	1653.7500	67.7500	0.8133	9.6500
3.9000	1312.7500	197.0000	12.7794	1076.2500	240.0000	957.2500	136.0000	1706.5000	1284.7500	63.9750	0.7419	9.1250
1.5000	964.5000	61.0000	4.7071	748.5000	94.0000	1325.2500	85.0000	1332.5000	821.0000	63.4000	0.6905	8.1750
